AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
19,-17,9,-473,615,-315,badminton
19,-10,-3,-382,624,0,badminton
17,2,-11,0,191,0,badminton
10,2,-11,0,0,0,badminton
12,3,-7,0,-327,0,badminton
19,0,-2,0,-543,0,badminton
19,-17,-1,292,-644,0,badminton
19,-11,-19,324,-212,407,badminton
19,-19,-16,0,-537,477,badminton
19,-19,-19,0,-616,414,badminton
19,-19,-17,0,-620,467,badminton
19,4,4,246,-280,299,badminton
14,15,10,0,-171,0,badminton
6,12,12,0,0,0,badminton
4,8,10,0,0,0,badminton
5,0,5,0,197,-245,badminton
7,-6,-2,0,214,-327,badminton
17,-17,-7,0,219,-452,badminton
17,-18,-7,0,198,-408,badminton
16,-13,-7,0,0,-322,badminton
18,-18,0,0,0,-345,badminton
16,-13,1,0,140,-222,badminton
14,-9,-1,0,0,-291,badminton
13,-13,2,0,0,-205,badminton
10,-14,3,0,0,0,badminton
9,-9,3,0,0,0,badminton
8,-5,2,0,0,0,badminton
11,0,3,0,0,0,badminton
11,5,0,0,0,0,badminton
8,0,2,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-3,3,0,0,0,badminton
8,-2,2,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,2,0,0,0,badminton
9,-1,2,0,0,0,badminton
9,-1,2,0,0,0,badminton
10,-11,2,-296,0,0,badminton
10,-8,2,-331,0,0,badminton
10,0,9,0,0,0,badminton
13,15,11,0,148,0,badminton
19,6,13,0,168,-345,badminton
19,-11,19,0,455,-341,badminton
19,-16,2,-506,621,0,badminton
19,-6,-1,0,477,0,badminton
16,4,-17,0,189,0,badminton
12,3,-16,0,-230,0,badminton
19,-1,-13,0,-457,0,badminton
19,-15,-9,0,-497,0,badminton
19,-19,-19,0,-786,384,badminton
19,-19,-19,0,-701,531,badminton
19,-19,-7,0,-416,520,badminton
19,-18,-2,0,-293,405,badminton
19,-9,-2,0,-240,282,badminton
19,2,3,0,-141,313,badminton
